iter	TotalF1	MultiClass
0	0.6178552072	1.09359377
1	0.6465504762	1.089038402
2	0.6675151388	1.084533915
3	0.6562491253	1.079825995
4	0.6579935272	1.074857736
5	0.6623370999	1.07036227
6	0.663105296	1.06600849
7	0.6638890486	1.061370685
8	0.6642438048	1.057067525
9	0.6613414875	1.052759623
10	0.6609909889	1.048666804
11	0.663529331	1.044380677
12	0.6648602296	1.04037067
13	0.6650148989	1.036554842
14	0.6660659761	1.032564589
15	0.6666077596	1.029035316
16	0.6660895435	1.025178769
17	0.6656952289	1.021313231
18	0.6658317141	1.017712574
19	0.6650304019	1.014306582
20	0.6655861112	1.011108093
21	0.6656934599	1.007586154
22	0.6645132315	1.003876099
23	0.6647723904	1.000572513
24	0.6653230806	0.9973381632
25	0.6652440637	0.9938614613
26	0.6654712461	0.9906570627
27	0.6665023415	0.9874133458
28	0.6679309969	0.9842189844
29	0.6683943608	0.9811729414
30	0.6680824317	0.9783239297
31	0.6681565204	0.975279979
32	0.6677825872	0.9722804057
33	0.6682530454	0.9694494065
34	0.6677119312	0.9666528405
35	0.6664360697	0.9636510409
36	0.6668003617	0.9611517742
37	0.6675497622	0.9584507873
38	0.6666955498	0.9559018462
39	0.6671265572	0.9533477784
40	0.6671984807	0.9505610317
41	0.6681959469	0.9479697192
42	0.668451998	0.9454078728
43	0.6682372771	0.9430360761
44	0.6679706004	0.9406183066
45	0.6685010496	0.9380402355
46	0.6699166681	0.9356828415
47	0.668267158	0.933261642
48	0.6690647563	0.9308208308
49	0.6696973039	0.928546124
50	0.6707659751	0.9262099331
51	0.67133612	0.9240340135
52	0.6709407274	0.9218559792
53	0.6709847857	0.9198261001
54	0.6704354821	0.9179569157
55	0.6703110954	0.9159052456
56	0.6708822703	0.9137768757
57	0.6708035904	0.9117832123
58	0.6712367512	0.9096676913
59	0.6716396239	0.9075806575
60	0.672275384	0.9056450085
61	0.6728061369	0.9036250209
62	0.6724032002	0.9018299675
63	0.672237894	0.8999470663
64	0.6717221225	0.8982445414
65	0.6717444584	0.8963463907
66	0.6724107883	0.8944115164
67	0.6711584863	0.8926967124
68	0.6715884631	0.8909962661
69	0.6721972238	0.8891704127
70	0.6720064637	0.8872594624
71	0.6727259209	0.8853621477
72	0.6732650641	0.8835494972
73	0.6735808948	0.8818156469
74	0.6727835729	0.880139921
75	0.6732040058	0.8783905777
76	0.6740085067	0.8767721528
77	0.6725648219	0.875178269
78	0.6730810195	0.8736131494
79	0.6728315052	0.8721084969
80	0.6730064479	0.8706500394
81	0.6733067546	0.8692389679
82	0.6737108845	0.8677035692
83	0.6740719205	0.8661566139
84	0.6741133624	0.8648033042
85	0.6738573772	0.8633300835
86	0.6736798436	0.86189244
87	0.6736564966	0.8607238017
88	0.6740153998	0.8593483467
89	0.673908587	0.8579552796
90	0.6745081156	0.856647038
91	0.6754098577	0.8551884576
92	0.6757183663	0.8537613647
93	0.6748018956	0.8525529495
94	0.6752537614	0.8512710199
95	0.6756679247	0.8501350233
96	0.6754520745	0.8487451433
97	0.6758207123	0.8474854036
98	0.6755201795	0.8462289262
99	0.6752669473	0.8448220352
100	0.6761434943	0.843559857
101	0.6757196508	0.842393034
102	0.6760853574	0.8411493252
103	0.6767767239	0.8399966892
104	0.6770486447	0.8388831099
105	0.6772699342	0.8377696661
106	0.6770032682	0.8365711938
107	0.677295144	0.8354214613
108	0.6767725383	0.8342403579
109	0.6770849331	0.8331392731
110	0.6782008502	0.8320365894
111	0.6788386335	0.8310135467
112	0.6785379243	0.8298114976
113	0.6783755529	0.8288388212
114	0.678221234	0.8278577119
115	0.6783009348	0.8268988349
116	0.6784073301	0.8260607806
117	0.6781789722	0.8250182447
118	0.6787736672	0.8239774965
119	0.6787801524	0.8229754075
120	0.6790128319	0.8219773935
121	0.6786900168	0.8209447531
122	0.6789884151	0.8200604255
123	0.6790927056	0.8190676661
124	0.6793936911	0.8181379615
125	0.6794577133	0.8172146678
126	0.6796118623	0.8163946635
127	0.6794336979	0.8155165329
128	0.6791691778	0.8145569453
129	0.6791328949	0.813663777
130	0.6795057203	0.8126493173
131	0.6791587646	0.8116923667
132	0.6792333806	0.8108999148
133	0.67879636	0.8100252187
134	0.6795984551	0.8090716252
135	0.6794622855	0.8081775521
136	0.6795745604	0.8072350849
137	0.6793779963	0.8063806693
138	0.679899869	0.8054863078
139	0.6794629229	0.8047020384
140	0.6799077615	0.8038369939
141	0.6801942011	0.8030030055
142	0.6803950916	0.8021304657
143	0.680352505	0.8012284246
