iter	Passed	Remaining
0	93	187702
1	135	135764
2	176	117651
3	219	109421
4	259	103462
5	299	99602
6	341	97292
7	384	95648
8	425	94130
9	470	93543
10	517	93618
11	567	93982
12	614	93867
13	660	93628
14	708	93740
15	752	93258
16	800	93422
17	844	93036
18	891	92929
19	936	92695
20	984	92787
21	1029	92535
22	1074	92387
23	1119	92186
24	1174	92818
25	1233	93631
26	1278	93424
27	1322	93165
28	1370	93168
29	1418	93130
30	1462	92916
31	1518	93377
32	1563	93223
33	1612	93236
34	1661	93253
35	1706	93083
36	1749	92804
37	1799	92890
38	1844	92740
39	1892	92726
40	1938	92616
41	1984	92507
42	2027	92273
43	2075	92285
44	2120	92144
45	2173	92313
46	2230	92689
47	2274	92480
48	2315	92211
49	2357	91929
50	2397	91623
51	2441	91477
52	2487	91381
53	2533	91311
54	2578	91172
55	2621	90998
56	2664	90836
57	2709	90727
58	2748	90428
59	2789	90188
60	2827	89877
61	2865	89577
62	2909	89465
63	2948	89178
64	2989	89003
65	3031	88831
66	3071	88611
67	3106	88273
68	3145	88015
69	3185	87838
70	3226	87653
71	3271	87592
72	3314	87485
73	3354	87304
74	3403	87344
75	3452	87404
76	3494	87261
77	3534	87091
78	3574	86917
79	3617	86815
80	3654	86587
81	3703	86625
82	3746	86519
83	3791	86489
84	3837	86462
85	3886	86506
86	3927	86361
87	3970	86262
88	4010	86113
89	4047	85903
90	4088	85764
91	4127	85592
92	4166	85432
93	4208	85331
94	4247	85166
95	4286	85023
96	4327	84896
97	4365	84723
98	4404	84583
99	4446	84476
100	4485	84339
101	4528	84268
102	4569	84155
103	4611	84071
104	4652	83957
105	4693	83854
106	4733	83750
107	4775	83657
108	4816	83567
109	4858	83482
110	4898	83363
111	4934	83189
112	4976	83104
113	5015	82980
114	5056	82883
115	5093	82725
116	5137	82675
117	5173	82518
118	5212	82386
119	5252	82284
120	5290	82151
121	5329	82040
122	5369	81946
123	5407	81808
124	5446	81694
125	5486	81598
126	5526	81510
127	5568	81443
128	5609	81366
129	5650	81285
130	5691	81208
131	5734	81154
132	5773	81049
133	5811	80925
134	5850	80821
135	5888	80707
136	5928	80618
137	5968	80529
138	6010	80472
139	6052	80412
140	6092	80327
141	6133	80253
142	6172	80152
143	6215	80116
144	6256	80034
145	6299	79997
146	6339	79912
147	6379	79829
148	6420	79759
149	6463	79717
150	6503	79634
151	6548	79610
152	6589	79553
153	6629	79467
154	6669	79393
155	6711	79334
156	6752	79266
157	6795	79218
158	6835	79143
159	6873	79041
160	6913	78972
161	6955	78912
162	6997	78860
163	7039	78812
164	7079	78727
165	7122	78696
166	7162	78613
167	7201	78535
168	7247	78521
169	7286	78441
170	7328	78382
171	7369	78319
172	7410	78263
173	7450	78191
174	7492	78140
175	7535	78092
176	7575	78026
177	7616	77960
178	7659	77917
179	7701	77871
180	7744	77827
181	7785	77766
182	7826	77713
183	7868	77661
184	7910	77607
185	7954	77575
186	7994	77508
187	8037	77463
188	8080	77424
189	8119	77351
190	8160	77291
191	8203	77253
192	8245	77197
193	8288	77158
194	8328	77089
195	8370	77047
196	8412	76996
197	8458	76982
198	8500	76933
199	8543	76887
200	8585	76842
201	8632	76836
202	8674	76788
203	8718	76758
204	8759	76699
205	8800	76639
206	8843	76597
207	8885	76552
208	8927	76499
209	8966	76428
210	9007	76374
211	9050	76327
212	9090	76268
213	9135	76242
214	9178	76206
215	9219	76148
216	9260	76087
217	9301	76034
218	9341	75972
219	9382	75910
220	9425	75869
221	9465	75805
222	9507	75761
223	9550	75719
224	9591	75666
225	9633	75615
226	9673	75554
227	9715	75508
228	9757	75463
229	9801	75428
230	9843	75384
231	9886	75340
232	9926	75279
233	9966	75217
234	10007	75161
235	10050	75124
236	10094	75090
237	10134	75026
238	10173	74959
239	10219	74939
240	10261	74898
241	10308	74889
242	10349	74831
243	10391	74783
244	10439	74783
245	10481	74735
246	10523	74687
247	10564	74634
248	10604	74572
249	10645	74517
250	10687	74475
251	10730	74433
252	10772	74385
253	10813	74332
254	10853	74269
255	10895	74222
256	10939	74195
257	10985	74171
258	11034	74175
259	11078	74140
260	11124	74121
261	11168	74087
262	11213	74057
263	11259	74039
264	11305	74016
265	11350	73991
266	11396	73972
267	11441	73944
268	11487	73921
269	11528	73866
270	11571	73826
271	11618	73809
272	11660	73763
273	11703	73723
274	11749	73700
275	11794	73674
276	11845	73678
277	11889	73645
278	11930	73595
279	11971	73541
280	12012	73488
281	12055	73442
282	12096	73394
283	12143	73373
284	12244	73681
285	12287	73638
286	12331	73604
287	12377	73577
288	12418	73522
289	12463	73493
290	12507	73452
291	12548	73398
292	12593	73369
293	12634	73316
294	12677	73272
295	12717	73209
296	12757	73153
297	12799	73101
298	12840	73047
299	12885	73015
300	12926	72965
301	12966	72903
302	13007	72851
303	13046	72786
304	13090	72747
305	13130	72688
306	13173	72648
307	13215	72597
308	13255	72538
309	13296	72488
310	13337	72431
311	13377	72377
312	13420	72331
313	13461	72277
314	13504	72240
315	13544	72179
316	13588	72141
317	13626	72076
318	13668	72027
319	13714	71999
320	13754	71944
321	13796	71898
322	13838	71846
323	13881	71804
324	13923	71761
325	13973	71753
326	14014	71702
327	14062	71682
328	14106	71647
329	14151	71612
330	14193	71569
331	14234	71515
332	14276	71468
333	14319	71424
334	14360	71374
335	14401	71322
336	14443	71274
337	14484	71222
338	14527	71179
339	14576	71166
340	14620	71131
341	14662	71081
342	14704	71038
343	14746	70987
344	14796	70981
345	14841	70947
346	14890	70932
347	14945	70948
348	14997	70946
349	15042	70912
350	15089	70892
351	15144	70901
352	15196	70902
353	15242	70875
354	15288	70844
355	15329	70793
356	15372	70746
357	15415	70702
358	15457	70655
359	15500	70615
360	15542	70567
361	15592	70552
362	15645	70555
363	15695	70543
364	15737	70495
365	15779	70446
366	15823	70407
367	15867	70367
368	15914	70341
369	15962	70322
370	16006	70282
371	16055	70266
372	16102	70239
373	16149	70211
374	16197	70187
375	16240	70146
376	16283	70100
377	16324	70048
378	16366	70002
379	16410	69962
380	16451	69909
381	16493	69857
382	16535	69810
383	16579	69773
384	16623	69732
385	16667	69690
386	16706	69629
387	16751	69597
388	16793	69550
389	16835	69499
390	16877	69453
391	16916	69390
392	16959	69347
393	17002	69304
394	17044	69258
395	17089	69219
396	17130	69170
397	17171	69117
398	17215	69078
399	17261	69044
400	17300	68987
401	17342	68940
402	17386	68897
403	17429	68856
404	17470	68802
405	17508	68742
406	17551	68694
407	17592	68644
408	17635	68600
409	17677	68552
410	17715	68492
411	17757	68445
412	17799	68396
413	17840	68347
414	17881	68295
415	17923	68247
416	17965	68200
417	18007	68151
418	18048	68103
419	18090	68054
420	18132	68008
421	18174	67958
422	18218	67921
423	18263	67885
424	18309	67852
425	18352	67809
426	18399	67780
427	18442	67736
428	18483	67686
429	18529	67654
430	18576	67625
431	18619	67582
432	18663	67541
433	18706	67497
434	18748	67450
435	18789	67400
436	18830	67349
437	18871	67300
438	18913	67253
439	18957	67213
440	18999	67166
441	19041	67120
442	19086	67081
443	19133	67051
444	19177	67014
445	19221	66973
446	19261	66919
447	19300	66861
448	19342	66816
449	19384	66767
450	19428	66730
451	19473	66691
452	19513	66639
453	19559	66604
454	19604	66568
455	19648	66528
456	19692	66490
457	19737	66451
458	19777	66397
